,title,platform,score,genre,release_year
5078,Freedom Fighters,GameCube,"(8, 9]",Action,2003
5079,Freedom Fighters,PlayStation (1-4),"(8, 9]",Action,2003
5080,Robin Hood: Defender of the Crown,"Xbox (360,One)","(7, 8]",Strategy,2003
5082,Wallace & Gromit in Project Zoo,PlayStation (1-4),"(6, 7]",Action,2003
5083,Robin Hood: Defender of the Crown,PlayStation (1-4),"(7, 8]",Strategy,2003
5084,Wallace & Gromit in Project Zoo,"Xbox (360,One)","(6, 7]",Action,2003
5085,Centipede,Mobile,"(1, 2]",Shooter,2003
5086,RoadKill,PlayStation (1-4),"(7, 8]",Racing,2003
5087,Super Mario Advance 4: Super Mario Bros. 3,Game Boy (C/A),"(9, 10]",Platformer,2003
5088,NBA Live 2004,PlayStation (1-4),"(8, 9]",Sports,2003
5089,Mega Man X7,PlayStation (1-4),"(6, 7]",Action,2003
5090,RoadKill,"Xbox (360,One)","(7, 8]",Racing,2003
5091,Spirits & Spells,GameCube,"(4, 5]",Platformer,2003
5092,XGRA: Extreme-G Racing Association,PlayStation (1-4),"(7, 8]",Racing,2003
5093,Ghost Master: The Gravenville Chronicles,PC,"(6, 7]",Strategy,2003
5094,Lethal Skies II,PlayStation (1-4),"(7, 8]",Simulation,2003
5095,Dynasty Warriors 4,"Xbox (360,One)","(8, 9]",Action,2003
5096,Battlefield 1942: Secret Weapons of World War II,PC,"(8, 9]",Shooter,2003
5097,P.N.03,GameCube,"(5, 6]",Shooter,2003
5098,ESPN NHL Hockey,PlayStation (1-4),"(9, 10]",Sports,2003
5099,Disney's Extreme Skate Adventure,Game Boy (C/A),"(7, 8]",Sports,2003
5100,Tiger Woods PGA Tour 2004,PC,"(8, 9]",Sports,2003
5101,NASCAR Thunder 2004,"Xbox (360,One)","(8, 9]",Racing,2003
5102,Rebels: Prison Escape,PC,"(5, 6]",Action,2003
5103,Dungeons & Dragons: The Temple of Elemental Evil -- A Classic Greyhawk Adventure,PC,"(7, 8]",RPG,2003
5104,Tiger Woods PGA Tour 2004,GameCube,"(8, 9]",Sports,2003
5105,XGRA: Extreme-G Racing Association,"Xbox (360,One)","(7, 8]",Racing,2003
5106,Tiger Woods PGA Tour 2004,PlayStation (1-4),"(9, 10]",Sports,2003
5107,Freedom Fighters,"Xbox (360,One)","(8, 9]",Action,2003
5108,SimCity 4: Rush Hour,PC,"(7, 8]",Simulation,2003
5109,"The Adventures of Jimmy Neutron, Boy Genius: Jet Fusion",PlayStation (1-4),"(6, 7]",Platformer,2003
5110,Medal of Honor: Allied Assault Breakthrough,PC,"(8, 9]",Shooter,2003
5111,Dungeons & Dragons: Heroes,"Xbox (360,One)","(8, 9]",Action,2003
5112,Billy Hatcher and the Giant Egg,GameCube,"(7, 8]",Platformer,2003
5113,Combat Jet Attack,Mobile,"(1, 2]",Shooter,2003
5114,Scooby-Doo: Mystery Mayhem,Game Boy (C/A),"(4, 5]",Action,2003
5115,Wallace & Gromit in Project Zoo,GameCube,"(6, 7]",Action,2003
5116,Chaser,PC,"(7, 8]",Shooter,2003
5117,FOX Sports Football '04,Mobile,"(7, 8]",Sports,2003
5118,Viewtiful Joe,GameCube,"(9, 10]",Fighting,2003
5120,Aquaman: Battle for Atlantis,GameCube,"(2, 3]",Action,2003
5121,NBA Jam [2003],PlayStation (1-4),"(6, 7]",Sports,2003
5122,Disney's Party,GameCube,"(5, 6]",Party,2003
5123,American Conquest: Fight Back,PC,"(7, 8]",Strategy,2003
5124,NBA Live 2004,GameCube,"(8, 9]",Sports,2003
5125,DemiKids: Dark Version,Game Boy (C/A),"(5, 6]",RPG,2003
5126,Tak and the Power of Juju,GameCube,"(8, 9]",Action,2003
5127,DemiKids: Light Version,Game Boy (C/A),"(5, 6]",RPG,2003
5128,UFO: Aftermath,PC,"(7, 8]",Strategy,2003
5129,Kirby Air Ride,GameCube,"(5, 6]",Racing,2003
5130,"The Adventures of Jimmy Neutron, Boy Genius: Jet Fusion",Game Boy (C/A),"(5, 6]",Action,2003
5131,JAMDAT Racing,Mobile,"(7, 8]",Racing,2003
5132,IHRA Drag Racing Multiplayer,Mobile,"(3, 4]",Racing,2003
5133,CyRace 2,Mobile,"(4, 5]",Racing,2003
5134,.hack//OUTBREAK (Part 3),PlayStation (1-4),"(8, 9]",Action,2003
5135,ESPN NHL Hockey,"Xbox (360,One)","(9, 10]",Sports,2003
5137,Starsky & Hutch,PlayStation (1-4),"(5, 6]",Racing,2003
5138,State of Emergency,PC,"(6, 7]",Action,2003
5139,Hunter: The Reckoning Wayward,PlayStation (1-4),"(8, 9]",Action,2003
5140,Gothic Graveyard,Mobile,"(6, 7]",Action,2003
5141,Anarchy Online: Shadowlands,PC,"(8, 9]",RPG,2003
5142,NASCAR Thunder 2004,PC,"(8, 9]",Racing,2003
5143,Rugby 2004,PlayStation (1-4),"(7, 8]",Sports,2003
5144,The Simpsons: Hit & Run,PlayStation (1-4),"(7, 8]",Action,2003
5145,Dino Crisis 3,"Xbox (360,One)","(5, 6]",Action,2003
5146,Homeworld 2,PC,"(8, 9]",Strategy,2003
5147,The Simpsons: Hit & Run,"Xbox (360,One)","(7, 8]",Action,2003
5149,NBA Jam [2003],"Xbox (360,One)","(6, 7]",Sports,2003
5150,Neighbors from Hell,PC,"(6, 7]",Puzzle,2003
5151,Drome Racers,GameCube,"(6, 7]",Racing,2003
5152,Etherlords II,PC,"(7, 8]",Strategy,2003
5153,Freedom Fighters,PC,"(8, 9]",Action,2003
5154,Age of Mythology: The Titans,PC,"(8, 9]",Strategy,2003
5155,Oddworld: Munch's Oddysee,Game Boy (C/A),"(3, 4]",Platformer,2003
5156,Jak II,PlayStation (1-4),"(9, 10]",Platformer,2003
5157,Once Upon a Knight,PC,"(6, 7]",Strategy,2003
5163,Conflict: Desert Storm II: Back to Baghdad,"Xbox (360,One)","(7, 8]",Shooter,2003
5164,Conflict: Desert Storm II: Back to Baghdad,PlayStation (1-4),"(7, 8]",Action,2003
5165,Hoyle Majestic Chess,PC,"(8, 9]",Board,2003
5166,Final Fantasy Tactics Advance,Game Boy (C/A),"(8, 9]",Strategy,2003
5167,ESPN NFL Football,PlayStation (1-4),"(9, 10]",Sports,2003
5168,The Simpsons: Hit & Run,GameCube,"(7, 8]",Action,2003
5169,Cold Zero,PC,"(6, 7]",Action,2003
5170,Halo: Combat Evolved,PC,"(8, 9]",Shooter,2003
5172,NHL 2004,PC,"(8, 9]",Sports,2003
5174,DDRMAX2: Dance Dance Revolution,PlayStation (1-4),"(8, 9]",Music,2003
5175,Space Colony,PC,"(7, 8]",Simulation,2003
5176,The History Channel: WWII Battle of Britain 1940,PC,"(8, 9]",Action,2003
5177,Dragon Ball Z Budokai,GameCube,"(6, 7]",Fighting,2003
5179,Crimson Skies: High Road to Revenge,"Xbox (360,One)","(9, 10]",Simulation,2003
5180,Castlevania: Lament of Innocence,PlayStation (1-4),"(8, 9]",Action,2003
5181,Warlords IV: Heroes of Etheria,PC,"(8, 9]",Strategy,2003
5182,Tony Hawk's Underground,Game Boy (C/A),"(9, 10]",Sports,2003
5183,SWAT: Global Strike Team,PlayStation (1-4),"(6, 7]",Shooter,2003
5184,Call of Duty,PC,"(9, 10]",Shooter,2003
5185,kill.switch,"Xbox (360,One)","(7, 8]",Shooter,2003
5186,No Man's Land: Fight for Your Rights!,PC,"(7, 8]",Strategy,2003
