,title,platform,score,genre,release_year
0,LittleBigPlanet PS Vita,PSP/Vita,"(8, 9]",Platformer,2012
1,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PSP/Vita,"(8, 9]",Platformer,2012
2,Splice: Tree of Life,iPad,"(8, 9]",Puzzle,2012
3,NHL 13,"Xbox (360,One)","(8, 9]",Sports,2012
4,NHL 13,PlayStation (1-4),"(8, 9]",Sports,2012
6,Double Dragon: Neon,"Xbox (360,One)","(2, 3]",Fighting,2012
7,Guild Wars 2,PC,"(8, 9]",RPG,2012
8,Double Dragon: Neon,PlayStation (1-4),"(2, 3]",Fighting,2012
9,Total War Battles: Shogun,PC,"(6, 7]",Strategy,2012
10,Tekken Tag Tournament 2,PlayStation (1-4),"(7, 8]",Fighting,2012
11,Tekken Tag Tournament 2,"Xbox (360,One)","(7, 8]",Fighting,2012
13,Mark of the Ninja,"Xbox (360,One)","(8, 9]",Action,2012
14,Mark of the Ninja,PC,"(8, 9]",Action,2012
16,Home: A Unique Horror Adventure,PC,"(6, 7]",Adventure,2012
17,Avengers Initiative,Mobile,"(7, 8]",Action,2012
18,Way of the Samurai 4,PlayStation (1-4),"(5, 6]",Action,2012
19,JoJo's Bizarre Adventure HD,"Xbox (360,One)","(6, 7]",Fighting,2012
20,JoJo's Bizarre Adventure HD,PlayStation (1-4),"(6, 7]",Fighting,2012
21,Mass Effect 3: Leviathan,"Xbox (360,One)","(7, 8]",RPG,2012
22,Mass Effect 3: Leviathan,PlayStation (1-4),"(7, 8]",RPG,2012
23,Mass Effect 3: Leviathan,PC,"(7, 8]",RPG,2012
24,Dark Souls (Prepare to Die Edition),PC,"(8, 9]",Action,2012
25,Symphony,PC,"(6, 7]",Shooter,2012
26,Bastion,iPad,"(8, 9]",Action,2012
27,Tom Clancy's Ghost Recon Phantoms,PC,"(7, 8]",Shooter,2012
28,Thirty Flights of Loving,PC,"(7, 8]",Adventure,2012
29,Legasista,PlayStation (1-4),"(6, 7]",Action,2012
31,World of Warcraft: Mists of Pandaria,PC,"(8, 9]",RPG,2012
32,Hell Yeah! Wrath of the Dead Rabbit,PlayStation (1-4),"(4, 5]",Platformer,2012
33,Pokemon White Version 2,DS/3DS/DSi,"(9, 10]",RPG,2012
34,War of the Roses,PC,"(7, 8]",Action,2012
35,Pokemon Black Version 2,DS/3DS/DSi,"(9, 10]",RPG,2012
36,Drakerider,Mobile,"(6, 7]",RPG,2012
37,The Walking Dead: The Game -- Episode 3: Long Road Ahead,"Xbox (360,One)","(8, 9]",Adventure,2012
38,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,"(8, 9]",Adventure,2012
39,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation (1-4),"(8, 9]",Adventure,2012
40,Rock Band Blitz,"Xbox (360,One)","(8, 9]",Music,2012
42,Worms Revolution,PlayStation (1-4),"(8, 9]",Strategy,2012
43,Worms Revolution,PC,"(8, 9]",Strategy,2012
44,Worms Revolution,"Xbox (360,One)","(8, 9]",Strategy,2012
45,Bad Piggies,Mobile,"(9, 10]",Action,2012
46,Resident Evil 6,PlayStation (1-4),"(7, 8]",Action,2012
47,Resident Evil 6,"Xbox (360,One)","(7, 8]",Action,2012
48,Shad'O,PC,"(6, 7]",Adventure,2012
49,Demon's Score,Mobile,"(6, 7]",Action,2012
50,NBA 2K13,"Xbox (360,One)","(9, 10]",Sports,2012
51,Counter-Strike: Global Offensive,PC,"(7, 8]",Shooter,2012
52,The World Ends with You: Solo Remix,iPad,"(9, 10]",RPG,2012
53,Counter-Strike: Global Offensive,PlayStation (1-4),"(7, 8]",Shooter,2012
54,The World Ends with You: Solo Remix,Mobile,"(9, 10]",RPG,2012
55,Counter-Strike: Global Offensive,"Xbox (360,One)","(7, 8]",Shooter,2012
56,Madden NFL 13,PSP/Vita,"(5, 6]",Sports,2012
57,Madden NFL 13,PlayStation (1-4),"(8, 9]",Sports,2012
58,Madden NFL 13,"Xbox (360,One)","(8, 9]",Sports,2012
59,Hoodwink,PC,"(2, 3]",Adventure,2012
60,NBA 2K13,PlayStation (1-4),"(9, 10]",Sports,2012
61,NBA 2K13,PC,"(9, 10]",Sports,2012
62,Lili: Child of Geos,Mobile,"(6, 7]",Adventure,2012
63,Marvel vs. Capcom Origins,"Xbox (360,One)","(8, 9]",Fighting,2012
64,Marvel vs. Capcom Origins,PlayStation (1-4),"(8, 9]",Fighting,2012
65,Dead or Alive 5,PlayStation (1-4),"(8, 9]",Fighting,2012
66,Dead or Alive 5,"Xbox (360,One)","(8, 9]",Fighting,2012
67,Medal of Honor Warfighter,PC,"(3, 4]",Shooter,2012
68,Professor Layton and the Miracle Mask,DS/3DS/DSi,"(8, 9]",Adventure,2012
69,Hotline Miami,PC,"(8, 9]",Action,2012
70,Edna & Harvey: Harvey's New Eyes,PC,"(5, 6]",Adventure,2012
71,Medal of Honor Warfighter,PlayStation (1-4),"(3, 4]",Shooter,2012
72,Medal of Honor Warfighter,"Xbox (360,One)","(3, 4]",Shooter,2012
73,Transformers: Fall of Cybertron,"Xbox (360,One)","(8, 9]",Shooter,2012
74,Transformers: Fall of Cybertron,PlayStation (1-4),"(8, 9]",Shooter,2012
75,Hero Academy,PC,"(8, 9]",Board,2012
76,Hero Academy,Mobile,"(8, 9]",Strategy,2012
77,Puzzle Craft,Mobile,"(8, 9]",Puzzle,2012
78,Realms Of Ancient War,"Xbox (360,One)","(5, 6]",Action,2012
79,Realms Of Ancient War,PlayStation (1-4),"(5, 6]",Action,2012
80,Anomaly: Warzone Earth,PlayStation (1-4),"(8, 9]",Action,2012
81,Darksiders II,PC,"(7, 8]",Action,2012
83,Left 4 Dead 2: Cold Stream,PC,"(6, 7]",Shooter,2012
84,Puzzle Craft,Mobile,"(8, 9]",Puzzle,2012
85,Left 4 Dead 2: Cold Stream,"Xbox (360,One)","(6, 7]",Shooter,2012
86,Horn,Mobile,"(8, 9]",Action,2012
87,Forza Horizon,"Xbox (360,One)","(8, 9]",Racing,2012
88,FIFA Soccer 13,PSP/Vita,"(3, 4]",Sports,2012
89,Mugen Souls,PlayStation (1-4),"(3, 4]",Strategy,2012
90,Crazy Taxi,Mobile,"(7, 8]",Racing,2012
91,New Little King's Story,PSP/Vita,"(5, 6]",RPG,2012
92,Fable: The Journey,"Xbox (360,One)","(7, 8]",Action,2012
93,The Lord of the Rings Online: Riders of Rohan,PC,"(8, 9]",RPG,2012
94,Doom 3: BFG Edition,"Xbox (360,One)","(7, 8]",RPG,2012
95,Rugby League Live 2,"Xbox (360,One)","(5, 6]",Sports,2012
96,Rugby League Live 2,PlayStation (1-4),"(5, 6]",Sports,2012
97,Doom 3: BFG Edition,PlayStation (1-4),"(7, 8]",RPG,2012
98,Punch Quest,Mobile,"(9, 10]",Action,2012
99,He-Man: The Most Powerful Game in the Universe,Mobile,"(6, 7]",Action,2012
100,Doom 3: BFG Edition,PC,"(7, 8]",RPG,2012
101,Dokuro,PSP/Vita,"(8, 9]",Puzzle,2012
102,Naughty Bear: Panic in Paradise,"Xbox (360,One)","(2, 3]",Action,2012
103,Naughty Bear: Panic in Paradise,PlayStation (1-4),"(2, 3]",Action,2012
104,Borderlands 2: Captain Scarlett and her Pirate's Booty,PlayStation (1-4),"(7, 8]",Shooter,2012
105,Skylanders Giants,PlayStation (1-4),"(7, 8]",Action,2012
106,Borderlands 2: Captain Scarlett and her Pirate's Booty,PC,"(7, 8]",Shooter,2012
107,Rayman: Jungle Run,Mobile,"(8, 9]",Platformer,2012
108,FIFA Soccer 13,PC,"(8, 9]",Sports,2012
109,FIFA Soccer 13,PlayStation (1-4),"(8, 9]",Sports,2012
110,Torchlight II,PC,"(9, 10]",Action,2012
111,FIFA Soccer 13,"Xbox (360,One)","(8, 9]",Sports,2012
112,The Sims 3: Supernatural,PC,"(4, 5]",Simulation,2012
114,Iron Brigade,PC,"(8, 9]",Action,2012
115,Cafeteria Nipponica,Mobile,"(5, 6]",Simulation,2012
116,Sleeping Dogs,"Xbox (360,One)","(8, 9]",Action,2012
117,Sleeping Dogs,PlayStation (1-4),"(8, 9]",Action,2012
118,Darksiders II,PlayStation (1-4),"(7, 8]",Action,2012
119,Papo & Yo,PlayStation (1-4),"(3, 4]",Adventure,2012
120,The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,"(7, 8]",Adventure,2012
121,The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,"(7, 8]",Adventure,2012
122,The Walking Dead: The Game -- Episode 4: Around Every Corner,PlayStation (1-4),"(7, 8]",Adventure,2012
123,Cortex Command,PC,"(4, 5]",Action,2012
124,The Walking Dead: The Game -- Episode 4: Around Every Corner,"Xbox (360,One)","(7, 8]",Adventure,2012
125,Derrick the Deathfin,PlayStation (1-4),"(7, 8]",Action,2012
127,XCOM: Enemy Unknown,"Xbox (360,One)","(8, 9]",Strategy,2012
128,XCOM: Enemy Unknown,PC,"(8, 9]",Strategy,2012
129,Silent Hill: Book of Memories,PSP/Vita,"(5, 6]",Adventure,2012
130,Diaspora: Shattered Armistice,PC,"(7, 8]",Simulation,2012
131,Pocket Clothier,Mobile,"(6, 7]",Strategy,2012
132,Pocket Clothier,Mobile,"(6, 7]",Strategy,2012
133,Ravaged,PC,"(6, 7]",Shooter,2012
134,True Skate,Mobile,"(6, 7]",Sports,2012
135,Zero Escape: Virtue's Last Reward,DS/3DS/DSi,"(9, 10]",Adventure,2012
136,Zero Escape: Virtue's Last Reward,PSP/Vita,"(9, 10]",Adventure,2012
137,The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,"(8, 9]",Adventure,2012
138,Skylanders Giants,"Xbox (360,One)","(7, 8]",Action,2012
139,Skylanders Giants,Wii (U),"(7, 8]",Action,2012
140,Borderlands 2: Captain Scarlett and her Pirate's Booty,"Xbox (360,One)","(7, 8]",Shooter,2012
141,Devil's Attorney,Mobile,"(8, 9]",Strategy,2012
142,Devil's Attorney,Mobile,"(8, 9]",Strategy,2012
143,Code of Princess,DS/3DS/DSi,"(6, 7]",Action,2012
144,SunFlowers,PSP/Vita,"(7, 8]",Puzzle,2012
145,007 Legends,"Xbox (360,One)","(4, 5]",Action,2012
146,Super Hexagon,Mobile,"(8, 9]",Action,2012
147,Machinarium,PlayStation (1-4),"(7, 8]",Adventure,2012
148,Final Fantasy Dimensions,Mobile,"(7, 8]",RPG,2012
149,They Bleed Pixels,PC,"(8, 9]",Platformer,2012
150,Jet Set Radio,PSP/Vita,"(7, 8]",Action,2012
151,Jet Set Radio,PlayStation (1-4),"(7, 8]",Action,2012
152,Jet Set Radio,"Xbox (360,One)","(7, 8]",Action,2012
153,Pro Evolution Soccer 2013,"Xbox (360,One)","(8, 9]",Sports,2012
154,F1 2012,PC,"(8, 9]",Racing,2012
155,Darksiders II,"Xbox (360,One)","(7, 8]",Action,2012
156,Pitfall,Mobile,"(6, 7]",Platformer,2012
157,Dust: An Elysian Tail,"Xbox (360,One)","(8, 9]",Platformer,2012
158,Hybrid,"Xbox (360,One)","(7, 8]",Shooter,2012
159,The Dark Knight Rises,Mobile,"(5, 6]",Action,2012
161,The Political Machine 2012,PC,"(6, 7]",Strategy,2012
162,Sound Shapes,PlayStation (1-4),"(8, 9]",Platformer,2012
163,Sound Shapes,PSP/Vita,"(8, 9]",Platformer,2012
164,One Piece: Pirate Warriors,PlayStation (1-4),"(5, 6]",Action,2012
165,XCOM: Enemy Unknown,PlayStation (1-4),"(8, 9]",Strategy,2012
166,Dishonored,"Xbox (360,One)","(9, 10]",Action,2012
167,Dishonored,PC,"(9, 10]",Action,2012
168,Dishonored,PlayStation (1-4),"(9, 10]",Action,2012
169,Angry Birds Trilogy,DS/3DS/DSi,"(6, 7]",Puzzle,2012
170,Angry Birds Trilogy,"Xbox (360,One)","(6, 7]",Puzzle,2012
171,Angry Birds Trilogy,PlayStation (1-4),"(6, 7]",Puzzle,2012
172,Girls Like Robots,Mobile,"(8, 9]",Puzzle,2012
173,Happy Wars,"Xbox (360,One)","(3, 4]",Action,2012
174,007 Legends,PlayStation (1-4),"(4, 5]",Action,2012
175,Funky Smugglers,Mobile,"(8, 9]",Action,2012
177,WRC 3 FIA World Rally Championship,"Xbox (360,One)","(4, 5]",Racing,2012
178,WRC 3 FIA World Rally Championship,PC,"(4, 5]",Racing,2012
179,Retro City Rampage,PlayStation (1-4),"(5, 6]",Action,2012
180,Retro City Rampage,PC,"(5, 6]",Action,2012
181,Dance Central 3,"Xbox (360,One)","(7, 8]",Music,2012
182,WRC 3 FIA World Rally Championship,PlayStation (1-4),"(4, 5]",Racing,2012
183,Snapshot,PC,"(4, 5]",Platformer,2012
184,F1 2012,PlayStation (1-4),"(8, 9]",Racing,2012
185,Pro Evolution Soccer 2013,PlayStation (1-4),"(8, 9]",Sports,2012
186,F1 2012,"Xbox (360,One)","(8, 9]",Racing,2012
187,Pro Evolution Soccer 2013,PC,"(8, 9]",Sports,2012
188,Borderlands 2,"Xbox (360,One)","(8, 9]",Shooter,2012
189,Borderlands 2,PC,"(8, 9]",Shooter,2012
190,Joe Danger: The Movie,"Xbox (360,One)","(7, 8]",Action,2012
191,Borderlands 2,PlayStation (1-4),"(8, 9]",Shooter,2012
192,Sound Shapes,PlayStation (1-4),"(8, 9]",Platformer,2012
193,Persona 4 Arena,PlayStation (1-4),"(8, 9]",Fighting,2012
194,Persona 4 Arena,"Xbox (360,One)","(8, 9]",Fighting,2012
195,Hell Yeah! Wrath of the Dead Rabbit,PC,"(4, 5]",Platformer,2012
196,Hell Yeah! Wrath of the Dead Rabbit,"Xbox (360,One)","(4, 5]",Platformer,2012
197,Retro City Rampage,PSP/Vita,"(5, 6]",Action,2012
198,The Unfinished Swan,PlayStation (1-4),"(8, 9]",Puzzle,2012
199,Tokyo Jungle,PlayStation (1-4),"(7, 8]",Adventure,2012
200,Halo 4,"Xbox (360,One)","(9, 10]",Shooter,2012
201,Halo 4 (Limited Edition),"Xbox (360,One)","(9, 10]",Shooter,2012
203,Harvest Moon: A New Beginning,DS/3DS/DSi,"(8, 9]",Adventure,2012
205,Borderlands Legends,Mobile,"(6, 7]",Action,2012
206,Borderlands Legends,iPad,"(6, 7]",Action,2012
207,Okami HD,PlayStation (1-4),"(9, 10]",Adventure,2012
208,Ragnarok Odyssey,PSP/Vita,"(4, 5]",RPG,2012
209,Need for Speed Most Wanted,Mobile,"(6, 7]",Racing,2012
210,Pid,"Xbox (360,One)","(7, 8]",Platformer,2012
211,Pid,PC,"(7, 8]",Platformer,2012
212,Pid,PlayStation (1-4),"(7, 8]",Platformer,2012
213,Need for Speed Most Wanted,PlayStation (1-4),"(8, 9]",Racing,2012
214,Assassin's Creed III,"Xbox (360,One)","(8, 9]",Action,2012
215,Need for Speed Most Wanted,"Xbox (360,One)","(8, 9]",Racing,2012
216,Assassin's Creed III: Liberation,PSP/Vita,"(7, 8]",Action,2012
217,Smart As...,PSP/Vita,"(8, 9]",Educational,2012
218,Assassin's Creed III,PlayStation (1-4),"(8, 9]",Action,2012
219,Need for Speed Most Wanted,PC,"(8, 9]",Racing,2012
221,Street Fighter x Tekken,PSP/Vita,"(6, 7]",Fighting,2012
223,Chivalry: Medieval Warfare,PC,"(7, 8]",Adventure,2012
224,Sonic Jump,Mobile,"(7, 8]",Platformer,2012
225,F1 Race Stars,"Xbox (360,One)","(5, 6]",Racing,2012
226,Call of Duty: Black Ops II,PC,"(9, 10]",Shooter,2012
227,F1 Race Stars,PlayStation (1-4),"(5, 6]",Racing,2012
230,Call of Duty: Black Ops II,"Xbox (360,One)","(9, 10]",Shooter,2012
231,Call of Duty: Black Ops II,PlayStation (1-4),"(9, 10]",Shooter,2012
232,When Vikings Attack,PlayStation (1-4),"(6, 7]",Fighting,2012
233,When Vikings Attack,PSP/Vita,"(6, 7]",Fighting,2012
235,Painkiller: Hell & Damnation,PC,"(4, 5]",Shooter,2012
236,Transformers Prime,DS/3DS/DSi,"(7, 8]",Action,2012
237,Angry Birds Star Wars,Mobile,"(8, 9]",Puzzle,2012
238,Farming Simulator 2013,PC,"(7, 8]",Simulation,2012
239,Paper Mario: Sticker Star,DS/3DS/DSi,"(8, 9]",RPG,2012
240,Lucius,PC,"(5, 6]",Adventure,2012
241,LittleBigPlanet Karting,PlayStation (1-4),"(4, 5]",Racing,2012
242,Primal Carnage,PC,"(7, 8]",Shooter,2012
243,Natural Selection 2,PC,"(7, 8]",Shooter,2012
244,Symphonica: Grand Maestro,Mobile,"(5, 6]",Music,2012
246,The Walking Dead: The Game -- Episode 5: No Time Left,PC,"(9, 10]",Adventure,2012
247,The Walking Dead: The Game -- Episode 5: No Time Left,iPad,"(9, 10]",Adventure,2012
249,The Walking Dead: The Game -- Episode 5: No Time Left,PlayStation (1-4),"(9, 10]",Adventure,2012
250,Football Manager 2013,PC,"(8, 9]",Sports,2012
251,Need for Speed Most Wanted,PSP/Vita,"(7, 8]",Racing,2012
252,Orgarhythm,PSP/Vita,"(4, 5]",Music,2012
253,Sports Champions 2,PlayStation (1-4),"(7, 8]",Sports,2012
254,Kinect Party,"Xbox (360,One)","(8, 9]",Party,2012
255,Sky Gamblers: Storm Raiders,Mobile,"(7, 8]",Action,2012
256,Oddworld: Stranger's Wrath HD,PSP/Vita,"(7, 8]",Action,2012
257,AirBuccaneers,PC,"(7, 8]",Action,2012
258,Theatrhythm Final Fantasy,Mobile,"(7, 8]",Music,2012
259,Sing Party,Wii (U),"(6, 7]",Music,2012
260,Beatdown!,Mobile,"(6, 7]",Fighting,2012
261,Waking Mars,PC,"(6, 7]",Action,2012
262,Waking Mars,Mobile,"(6, 7]",Action,2012
263,Hitman: Absolution,PlayStation (1-4),"(8, 9]",Action,2012
264,Hitman: Absolution,"Xbox (360,One)","(8, 9]",Action,2012
265,ZombiU,Wii (U),"(6, 7]",Shooter,2012
266,Grand Theft Auto: Vice City,Mobile,"(7, 8]",Action,2012
267,Street Fighter X Mega Man,PC,"(6, 7]",Action,2012
268,Sonic & All-Stars Racing Transformed,PSP/Vita,"(6, 7]",Racing,2012
269,Sonic & All-Stars Racing Transformed,DS/3DS/DSi,"(6, 7]",Racing,2012
270,The Sims 3: Seasons,PC,"(7, 8]",Simulation,2012
271,Tank! Tank! Tank!,Wii (U),"(5, 6]",Action,2012
273,Ratchet & Clank: Full Frontal Assault,PlayStation (1-4),"(6, 7]",Action,2012
274,Page Chronica,PlayStation (1-4),"(4, 5]",Puzzle,2012
275,Hitman: Absolution,PC,"(8, 9]",Action,2012
276,Batman: Arkham City -- Armored Edition,Wii (U),"(9, 10]",Action,2012
277,Disney Epic Mickey 2: The Power of Two,PlayStation (1-4),"(5, 6]",Action,2012
278,Disney Epic Mickey 2: The Power of Two,"Xbox (360,One)","(5, 6]",Action,2012
279,Darksiders II,Wii (U),"(7, 8]",Action,2012
280,Scribblenauts Unlimited,Wii (U),"(8, 9]",Puzzle,2012
281,Call of Duty: Black Ops Declassified,PSP/Vita,"(3, 4]",Shooter,2012
282,Fallen Enchantress,PC,"(7, 8]",Strategy,2012
283,Guns of Icarus Online,PC,"(7, 8]",Shooter,2012
284,Miner Wars 2081,PC,"(4, 5]",Shooter,2012
286,The Elder Scrolls V: Skyrim -- Dragonborn,"Xbox (360,One)","(8, 9]",RPG,2012
287,Baldur's Gate -- Enhanced Edition,iPad,"(5, 6]",RPG,2012
288,Black Knight Sword,"Xbox (360,One)","(6, 7]",Puzzle,2012
289,Black Knight Sword,PlayStation (1-4),"(6, 7]",Puzzle,2012
290,The Walking Dead: A Telltale Game Series -- Season One,"Xbox (360,One)","(9, 10]",Adventure,2012
291,Sonic & All-Stars Racing Transformed,"Xbox (360,One)","(8, 9]",Racing,2012
292,New Super Mario Bros. U,Wii (U),"(9, 10]",Platformer,2012
293,Sonic & All-Stars Racing Transformed,PlayStation (1-4),"(8, 9]",Racing,2012
294,Nintendo Land,Wii (U),"(8, 9]",Party,2012
295,ARC Squadron,Mobile,"(7, 8]",Simulation,2012
296,Ninja Gaiden III: Razor's Edge,Wii (U),"(7, 8]",Action,2012
297,The Walking Dead: A Telltale Game Series -- Season One,PlayStation (1-4),"(9, 10]",Adventure,2012
298,The Walking Dead -- Game of the Year Edition,PC,"(9, 10]",Adventure,2012
299,The Walking Dead: A Telltale Game Series -- Season One,Mobile,"(9, 10]",Adventure,2012
300,Real Boxing,Mobile,"(7, 8]",Sports,2012
301,Baldur's Gate -- Enhanced Edition,PC,"(8, 9]",RPG,2012
302,Crashmo,DS/3DS/DSi,"(9, 10]",Puzzle,2012
303,PlanetSide 2,PC,"(8, 9]",Shooter,2012
304,Disney Epic Mickey 2: The Power of Two,Wii (U),"(5, 6]",Action,2012
305,The Walking Dead: A Telltale Game Series -- Season One,PC,"(9, 10]",Adventure,2012
307,Strike Suit Zero,PC,"(7, 8]",Shooter,2013
308,Final Fantasy: All The Bravest,Mobile,"(2, 3]",RPG,2013
309,Tokyo Crash Mobs,DS/3DS/DSi,"(7, 8]",Puzzle,2013
310,Ni no Kuni: Wrath of the White Witch,PlayStation (1-4),"(9, 10]",RPG,2013
311,Marvel's The Avengers: Battle For Earth,Wii (U),"(4, 5]",Action,2013
312,Borderlands 2: Sir Hammerlock's Big Game Hunt,"Xbox (360,One)","(6, 7]",Shooter,2013
313,Assassin's Creed III,PC,"(8, 9]",Action,2012
314,Chasing Aurora,Wii (U),"(5, 6]",Action,2012
315,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,DS/3DS/DSi,"(8, 9]",Adventure,2012
316,Madden NFL 13,Wii (U),"(8, 9]",Sports,2012
317,Warriors Orochi 3 Hyper,Wii (U),"(6, 7]",Action,2012
318,Transformers Prime,Wii (U),"(7, 8]",Action,2012
319,Skylanders Battlegrounds,Mobile,"(6, 7]",Action,2012
320,Rage of the Gladiator,Mobile,"(7, 8]",Action,2012
321,FIFA Soccer 13,Wii (U),"(5, 6]",Sports,2012
322,Family Guy: Back to the Multiverse,"Xbox (360,One)","(5, 6]",Adventure,2012
323,Family Guy: Back to the Multiverse,PlayStation (1-4),"(5, 6]",Adventure,2012
324,Little Inferno,PC,"(4, 5]",Puzzle,2012
325,Little Inferno,Wii (U),"(4, 5]",Puzzle,2012
326,The Walking Dead -- Game of the Year Edition,PlayStation (1-4),"(9, 10]",Adventure,2012
327,The Walking Dead -- Game of the Year Edition,"Xbox (360,One)","(9, 10]",Adventure,2012
328,The Walking Dead: A Telltale Game Series -- Season One,iPad,"(9, 10]",Adventure,2012
329,Minigore 2: Zombies,Mobile,"(9, 10]",Shooter,2012
330,Jet Set Radio,Mobile,"(5, 6]",Action,2012
331,Forge,PC,"(6, 7]",Shooter,2012
332,Nancy Drew: The Deadly Device,PC,"(6, 7]",Adventure,2012
333,Into the Dead,Mobile,"(6, 7]",Action,2012
334,Just Dance 4,Wii (U),"(5, 6]",Music,2012
335,Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,"(6, 7]",Shooter,2013
336,Borderlands 2: Sir Hammerlock's Big Game Hunt,PlayStation (1-4),"(6, 7]",Shooter,2013
337,DmC: Devil May Cry,PC,"(8, 9]",Action,2013
338,Unchained Blades,DS/3DS/DSi,"(7, 8]",RPG,2013
339,DmC: Devil May Cry,PlayStation (1-4),"(8, 9]",Action,2013
340,The Earth Defense Force 2017 Portable,PSP/Vita,"(7, 8]",Action,2013
341,007 Legends,Wii (U),"(4, 5]",Action,2013
342,Wraithborne,Mobile,"(5, 6]",Action,2012
343,Persona 4 Golden,PSP/Vita,"(9, 10]",RPG,2012
344,Call of Duty: Black Ops II,Wii (U),"(9, 10]",Shooter,2012
345,Rabbids Land,Wii (U),"(4, 5]",Party,2012
346,Tekken Tag Tournament 2: Wii U Edition,Wii (U),"(7, 8]",Fighting,2012
347,Far Cry 3,PC,"(8, 9]",Shooter,2012
348,Madden NFL 13,Wii (U),"(8, 9]",Sports,2012
349,Far Cry 3,PlayStation (1-4),"(8, 9]",Shooter,2012
351,Little Inferno,iPad,"(4, 5]",Puzzle,2012
353,Little Inferno,Mobile,"(4, 5]",Puzzle,2012
354,Little Chomp,Mobile,"(7, 8]",Action,2012
355,Trine 2: Director's Cut,Wii (U),"(8, 9]",Action,2012
356,LEGO The Lord of the Rings [Portable],DS/3DS/DSi,"(3, 4]",Action,2012
357,LEGO The Lord of the Rings [Portable],PSP/Vita,"(3, 4]",Action,2012
358,LEGO The Lord of the Rings,"Xbox (360,One)","(6, 7]",Action,2012
360,Mass Effect,PlayStation (1-4),"(8, 9]",RPG,2012
361,Guilty Gear XX Accent Core Plus,"Xbox (360,One)","(8, 9]",Fighting,2012
362,Guilty Gear XX Accent Core Plus,PlayStation (1-4),"(8, 9]",Fighting,2012
364,Modern Combat 4: Zero Hour,Mobile,"(7, 8]",Shooter,2012
366,Rift: Storm Legion,PC,"(8, 9]",RPG,2012
367,Joe Danger,Mobile,"(9, 10]",Action,2013
368,DmC: Devil May Cry,"Xbox (360,One)","(8, 9]",Action,2013
369,Anarchy Reigns,"Xbox (360,One)","(5, 6]",Action,2013
370,Anarchy Reigns,PlayStation (1-4),"(5, 6]",Action,2013
371,Kentucky Route Zero: Act 1,PC,"(8, 9]",Adventure,2013
372,Primordia,PC,"(6, 7]",Adventure,2013
373,Mutant Mudds,Mobile,"(9, 10]",Platformer,2013
374,Far Cry 3,"Xbox (360,One)","(8, 9]",Shooter,2012
375,Mass Effect 3 (Special Edition),Wii (U),"(9, 10]",RPG,2012
376,Nano Assault Neo,Wii (U),"(8, 9]",Shooter,2012
377,Disney Epic Mickey: Power of Illusion,DS/3DS/DSi,"(6, 7]",Action,2012
378,Assassin's Creed III,Wii (U),"(8, 9]",Action,2012
379,Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,"(9, 10]",Shooter,2012
380,Scribblenauts Unlimited,PC,"(8, 9]",Puzzle,2012
381,Borderlands 2: Mr. Torgue's Campaign of Carnage,"Xbox (360,One)","(9, 10]",Shooter,2012
382,PlayStation All-Stars Battle Royale,PSP/Vita,"(7, 8]",Fighting,2012
383,Jetpack Joyride,PSP/Vita,"(7, 8]",Platformer,2012
384,LEGO The Lord of the Rings,PlayStation (1-4),"(6, 7]",Action,2012
385,The Walking Dead: Assault,Mobile,"(7, 8]",Adventure,2012
386,Miasmata,PC,"(7, 8]",Adventure,2012
387,Bladeslinger: Episode 1,Mobile,"(7, 8]",Action,2012
388,Funky Barn,Wii (U),"(4, 5]",Simulation,2012
389,ESPN Sports Connection,Wii (U),"(2, 3]",Sports,2012
390,Sonic & All-Stars Racing Transformed,Wii (U),"(8, 9]",Racing,2012
391,Infestation: Survivor Stories,PC,"(2, 3]",Action,2013
392,Labyrinth Legends,PlayStation (1-4),"(7, 8]",RPG,2013
393,Ace of Spades,PC,"(5, 6]",Shooter,2013
394,Monsters Inc. Run,Mobile,"(7, 8]",Action,2013
395,Pudding Monsters,Mobile,"(7, 8]",Puzzle,2012
396,Borderlands 2: Mr. Torgue's Campaign of Carnage,PlayStation (1-4),"(9, 10]",Shooter,2012
397,PlayStation All-Stars Battle Royale,PlayStation (1-4),"(7, 8]",Fighting,2012
398,NBA 2K13,Wii (U),"(9, 10]",Sports,2012
399,The Walking Dead: The Game -- Episode 5: No Time Left,"Xbox (360,One)","(9, 10]",Adventure,2012
400,NFL Quarterback Club '97,PlayStation (1-4),"(4, 5]",Sports,1996
402,Raven Project,PlayStation (1-4),"(2, 3]",Action,1996
403,Silverload,PlayStation (1-4),"(5, 6]",Adventure,1996
404,Return Fire,PlayStation (1-4),"(6, 7]",Action,1996
405,Rise 2: Resurrection,PlayStation (1-4),"(1, 2]",Fighting,1996
406,Robo Pit,PlayStation (1-4),"(6, 7]",Fighting,1996
407,NBA ShootOut,PlayStation (1-4),"(5, 6]",Sports,1996
